Notícia,Título,Link
"A expansão do novo coronavírus no Brasil fez com que o Congresso Nacional adiasse nesta segunda-feira (16), pelo menos duas reuniões de trabalho de umas das mais importantes comissões mistas em andamento: a que discute a reforma tributária e a CPI das Fake News. Senadores e deputados tinham encontro agendado para esta terça (17) nas duas comissões. A da Reforma Tributária receberia em audiência pública o ministro da Economia, Paulo Guedes. O senador Roberto Rocha (PSDB-MA), presidente da comissão, suspendeu a audiência e informou que marcará uma nova data., entretanto, afirmou que o governo pode encaminhar ao colegiado o texto de sua proposta de reforma tributária, aguardado desde o ano passado. Já o senador Angelo Coronel (PSD-BA), presidente da CPMI das Fake News, mandou cancelar o encontro em que seriam votados 57 requerimentos de quebras de sigilo de empresas e pessoas suspeitas de usar as redes sociais para atacar adversários políticos e difundir informações falsas. ""Vamos aguardar a evolução para ver quando iremos marcar a próxima sessão"", disse ele, que aguarda resultado de exames laboratoriais e está em isolamento residencial em Brasília por ter mantido contato com o primeiro congressista infectado, senador Nelsinho Trad (PSD-MS).",Congresso adia Comissão da Reforma Tributária e CPI mista das Fake News,https://www.gazetadopovo.com.br/republica/breves/congresso-adia-comissao-da-reforma-tributaria-e-cpi-mista-das-fake-news/
"O Ministério da Saúde atualizou o número de casos do novo coronavírus no Brasil, agora são 234 infectados, 2.064 suspeitos e 1.624 casos descartados. Os dados foram atualizados na tarde desta segunda-feira (16). Não foi registrado nenhum óbito no país devido a doença. De ontem para hoje foi registrado um aumento de 34 casos. O estado com maior número de pessoas infectadas é São Paulo, com 152.Siga a Gazeta do Povo no Instagram.",Sobe para 234 o número de casos confirmados de coronavírus no Brasil,https://www.gazetadopovo.com.br/republica/breves/sobe-numero-de-casos-de-coronavirus-no-brasil/
"As manifestações contra o governo e o Ministério da Educação (MEC) previstas para o próximo dia 18 de março foram canceladas. Em nota, o Conselho Nacional dos Trabalhadores em Educação (CNTE) orientou os sindicados e grupos a realizarem uma mobilização virtual ""contra as desmedidas do atual governo, que atentam contra o patrimônio e os serviços públicos do Brasil, entre os quais, a educação pública"". ""Nos dias 26 e 27 de março, o Conselho Nacional de Entidades da CNTE se reunirá em Brasília para definir novas mobilizações em defesa da educação, dos serviços públicos e do novo FUNDEB"", afirma o conselho.",Centrais sindicais cancelam manifestações contra o MEC por causa do coronavírus,https://www.gazetadopovo.com.br/republica/breves/por-precaucao-pelo-coronavirus-manifestacao-contra-mec-e-cancelada/
"O presidente do Senado, Davi Alcolumbre (DEM-AP), o ministro da Saúde, Luiz Henrique Mandetta, e o presidente do Supremo Tribunal Federal (STF), Dias Toffoli, se reunirão na tarde desta segunda-feira (16) para falar sobre medidas de prevenção ao coronavírus. O encontro acontecerá no Salão Nobre do STF.","Alcolumbre, Mandetta e Toffoli têm reunião sobre coronavírus no STF",https://www.gazetadopovo.com.br/republica/breves/reuniao-alcolumbre-mandetta-e-toffoli-coronavirus/
"A deputada estadual por São Paulo Janaina Paschoal (PSL-SP) fez duras críticas ao presidente Jair Bolsonaro na sessão desta segunda-feira (16) da Assembleia Legislativa de São Paulo (Alesp). Antes apoiadora de Bolsonaro, Janaina afirmou que o presidente não está tomando as medidas de contenção necessárias contra o novo coronavírus, e que pode ser acusado de homicídio doloso por ter estimulado e ido a uma aglomeração estando ""possivelmente infectado"" com o vírus. ""O que ele fez ontem é inadmissível. É um crime contra a saúde pública. Esse senhor tem que sair da Presidência da República. (...) Deixa o Mourão conduzir a nação. Não tem mais justificativa. (...) Eu me arrependi do meu voto. (...) As autoridades têm que se unir e pedir para ele se afastar"", disse.Veja a fala na íntegra:","“Bolsonaro tem que sair. Deixa o Mourão conduzir a nação”, diz Janaina Paschoal após atos",https://www.gazetadopovo.com.br/republica/breves/janaina-paschoal-criticas-jair-bolsonaro-coronavirus/
"Diante da repercussão gerada pelo comportamento do presidente Jair Bolsonaro que, orientado a ficar em isolamento até refazer testes para o coronavírus, participou neste domingo (15) de ato favorável ao seu governo e crítico ao Congresso e ao Supremo Tribunal Federal, a Procuradoria-Geral da República divulgou nota nesta segunda (16) afirmando que o Ministério Público Federal ""não é um poder político"", mas ""um órgão autônomo e independente"", e que todas as representações protocoladas sobre o caso serão devidamente analisadas. A presença de Bolsonaro na Esplanada dos Ministérios durante a manifestação gerou reação de parlamentares, entre os quais os presidentes da Câmara, Rodrigo Maia (DEM-RJ), e do Senado, Davi Alcolumbre (DEM-AP), que falaram em ""atentado à saúde pública"" e em comportamento ""inconsequente"". Em contrapartida, o MPF indicou que o procurador-geral da República, Augusto Aras, não ""adianta posicionamento e não faz juízo de valor em ambientes de opinião pública"". Além disso, a Procuradoria destacou que ""atua de forma técnica, em respeito à Constituição Federal e às leis, defendendo a estabilidade das instituições de Estado, fundamentais para a segurança e a economia do país""","“Todas representações serão devidamente analisadas”, diz PGR sobre Bolsonaro",https://www.gazetadopovo.com.br/republica/breves/todas-representacoes-serao-analisadas-diz-pgr-sobre-bolsonaro/
"A presidente da Comissão de Constituição e Justiça (CCJ) do Senado, Simone Tebet (MDB-MS), informou nesta segunda-feira (16) que as audiências públicas a respeito da proposta de emenda à Constituição (PEC) Emergencial. Segundo ela, porém, a leitura do relatório da PEC segue marcada para a próxima quarta-feira (18). O cancelamento segue a determinação do presidente da Casa, Davi Alcolumbre (DEM-AP), que restringiu eventos que gerem aglomerações para combater a disseminação do novo coronavírus.",Simone Tebet cancela audiências públicas sobre PEC Emergencial,https://www.gazetadopovo.com.br/republica/breves/pec-emergencial-audiencias-publicas-ccj-senado/
"A pandemia de coronavírus levou a Câmara dos Deputados a determinar que a imprensa só poderá falar com o presidente da casa, Rodrigo Maia (DEM-RJ), em entrevistas coletivas no Salão Verde do Congresso, em ocasiões em que o parlamentar se posicionará em púlpito montado para a ocasião. Habitualmente, Maia também fala com a imprensa durante sua chegada e saída do Congresso ou nos deslocamentos entre seu gabinete e o plenário da Câmara. O policiamento legislativo e a assessoria de imprensa vão ""reforçar a orientação"" aos repórteres que tentarem abordar o parlamentar fora do púlpito.",Coronavírus muda rotina de entrevistas de Maia na Câmara,https://www.gazetadopovo.com.br/republica/breves/coronavirus-muda-rotina-de-entrevistas-de-maia-na-camara/
"Questionados sobre a participação do presidente Jair Bolsonaro em protesto deste domingo (16) em Brasília, representantes da Organização Mundial da Saúde (OMS) evitaram tecer comentários sobre o caso, mas reiteraram a importância de se evitar aglomerações em meio à pandemia de coronavírus. ""É importante que as pessoas limitem participação em eventos de massa"", destacou Maria Van Kerkhove, responsável pela resposta de emergência da entidade ao surto. Durante coletiva de imprensa, em Genebra, na Suíça, o diretor-geral da Organização reforçou que é preciso ""comprometimento político"" para conter o vírus. ""Essa é a crise de saúde definitiva dos nossos tempos. Os dias, semanas e meses à frente serão teste de nossa capacidade de decisão, de nossa confiança na ciência e de nossa solidariedade"", disse.",OMS fala em “comprometimento político” ao responder sobre Bolsonaro em evento,https://www.gazetadopovo.com.br/republica/breves/oms-pede-comprometimento-politico-bolsonaro-manifestacao/
"A Organização das Nações Unidas (ONU) informou, nesta segunda-feira (16) que equipes preparadas para lidar com o novo coronavírus já estão no Brasil e que a entidade mantém contato com autoridades brasileiras, de todos os escalões, para agirem em conjunto num plano de contingência para a covid-19. Em comunicado à imprensa, a organização reiterou que é imprescindível que os países respeitem as orientações da Organização Mundial de Saúde e evitem qualquer tipo de reunião presencial, em qualquer evento público. ""É preciso reduzir a presença física em todos os locais e em todos os sentidos"", defende a ONU, em informe.",ONU: equipes preparadas estão no Brasil para ajudar num plano de contingência,https://www.gazetadopovo.com.br/republica/breves/onu-equipes-preparadas-estao-no-brasil-para-ajudar-num-plano-de-contingencia/
"A Ordem dos Advogados do Brasil (OAB) anunciou que vai dispensar seus funcionários das atividades presenciais após identificar que uma mulher diagnosticada com o novo coronavírus participou de um Congresso para quase 3 mil pessoas organizado pela entidade, no início do mês. Antes do encontro, que ocorreu nos dias 5 e 6 de março, no Ceará, a advogada viajou para a Europa. ""A advogada encontra-se em isolamento domiciliar, com sintomas leves, e sem qualquer risco"", diz o texto da OAB. Depois do episódio, os 2.644 inscritos no evento, além de todos os prestadores de serviço envolvidos, foram informados sobre o ocorrido, com indicações para que sigam as orientações do Ministério da Saúde. De acordo com a OAB, as autoridades estaduais e federais responsáveis também foram notificadas. Além disso, a entidade decidiu suspender todos os eventos e reuniões do Conselho Federal da OAB e optou pelo trabalho remoto para evitar novas contaminações.",OAB suspende trabalho presencial após advogada com coronavírus participar de evento,https://www.gazetadopovo.com.br/republica/breves/coronavirus-suspensao-eventos-trabalho-presencial/
"O governo está liberando R$ 424,154 milhões para os estados e o Distrito Federal para ações de saúde de enfrentamento ao novo coronavírus. O recurso do Bloco de Custeio das Ações e Serviços Públicos de Saúde (Grupo de Atenção de Média e Alta Complexidade - MAC) está sendo disponibilizado em parcela única por meio de portaria do Ministério da Saúde, publicada em edição extra do Diário Oficial da União desta segunda-feira (16).",Ministério da Saúde libera R$ 424 mi para estados e DF para combate ao coronavírus,https://www.gazetadopovo.com.br/republica/breves/ministerio-saude-verba-extra-combate-coronavirus/
"Um dos autores do pedido de impeachment da ex-presidente Dilma Rousseff (PT), o jurista Miguel Reale Júnior defendeu que o Ministério Público peça que o presidente Jair Bolsonaro passe por exames para atestar sua sanidade mental. ""Seria o caso de submetê-lo a uma junta médica para saber onde o está o juízo dele. O Ministério Publico pode requerer um exame de sanidade mental para o exercício da profissão. Bolsonaro também está sujeito a medidas administrativas e eventualmente criminais. Assumir o risco de expor pessoas a contágio é crime"" disse o jurista ao jornal O Estado de S. Paulo, em referência à participação do presidente nos atos deste domingo (15).",Autor de impeachment de Dilma defende avaliação da sanidade mental de Bolsonaro,https://www.gazetadopovo.com.br/republica/breves/miguel-reale-junior-bolsonaro-sanidade-mental/
"O deputado federal Alexandre Frota disse, em sua conta no Twitter, que irá protocolar um pedido de impeachment do presidente Jair Bolsonaro na próxima terça-feira (17). ""Juridicamente posso adiantar que a peça é irretocável"", afirmou. Veja o post:",Alexandre Frota afirma que irá protocolar pedido de impeachment de Bolsonaro,https://www.gazetadopovo.com.br/republica/breves/alexandre-frota-pedido-impeachment-bolsonaro/
"O governo federal realiza nesta segunda-feira (16), no Ministério da Defesa, uma reunião para discutir se fecha ou não as fronteiras brasileiras. A situação mais delicada é a fronteira do Brasil com a Venezuela. O presidente Jair Bolsonaro poderá ir ao Ministério da Defesa participar de parte da reunião. O ministro da Defesa, general Fernando Azevedo e Silva, está acompanhando o encontro por teleconferência porque ainda está fazendo um autoisolamento, até que repita o exame para coronavírus – já que integrou a comitiva presidencial aos EUA. Também estão presentes no encontro os ministros da Casa Civil, general Braga Netto; da Justiça, Sérgio Moro; da Secretaria de Governo, Luiz Eduardo Ramos; e o secretário-executivo do Gabinete de Segurança Institucional, general Douglas Bassoli. Há expectativa de participação do ministro da Saúde, Luiz Henrique Mandetta.",Governo discute fechamento de fronteiras em reunião no Ministério da Defesa,https://www.gazetadopovo.com.br/republica/breves/coronavirus-governo-brasil-fechamento-fronteiras/
"O governo vai enviar até esta terça-feira (17) o projeto de lei para ampliar o percentual de renda dos aposentados e pensionistas do INSS que pode ser comprometido com empréstimo consignado. A informação é do secretário especial de Previdência e Trabalho, Bruno Bianco Leal. A medida faz parte do pacote de ações para estimular a economia. Também na terça o governo vai propor ao Conselho Nacional da Previdência Social a redução do teto dos juros do empréstimo consignado em favor dos beneficiários do INSS, bem como a ampliação do prazo máximo das operações. Os novos limites, contudo, ainda não foram divulgados pelo Ministério da Economia.",Governo envia até terça projeto para ampliar consignado a aposentados e pensionistas,https://www.gazetadopovo.com.br/republica/breves/governo-envia-ate-terca-projeto-para-ampliar-consignado-a-aposentados-e-pensionistas/
"O Ministério da Justiça e Segurança Pública publicou, nesta segunda-feira (16), uma portaria em que suspende as visitas sociais nos presídios federais por 15 dias. No caso de advogados, a proibição vale por 5 dias, salvo em casos urgentes. As escoltas também foram suspensas, ""com exceção de requisições judiciais e inclusões emergenciais"", diz texto divulgado pelo Departamento Penitenciário Nacional. As medidas visam evitar a disseminação do novo coronavírus.",Ministério da Justiça suspende visitas em presídios federais por 15 dias,https://www.gazetadopovo.com.br/republica/breves/coronavirus-visitas-presidios-federais-portaria-ministerio-justica/
"A Comissão de Valores Mobiliários (CVM) começou, nesta segunda-feira (16), um esquema de trabalho remoto, para ampliar o distanciamento social dos servidores, em meio às medidas para tentar conter a pandemia do novo coronavírus. Com isso, o atendimento presencial ao público está suspenso. As reuniões do Colegiado estão mantidas, mas os julgamentos de processos, que são públicos, ficarão restritos – pelo menos nas sessões dos próximos dia 17 e 24 – aos diretores, às partes e a seus advogados. Atendimentos telefônicos e por meios virtual/online permanecerão ativos. O esquema de trabalho remoto começará inicialmente com 150 servidores. A partir de quarta-feira (18), o trabalho de casa será estendido aos servidores ""que realizam atividades consideradas essenciais e estratégicas para o cumprimento da missão da CVM"", diz nota divulgada pelo órgão. Caso necessário, o trabalho remoto será determinado para todos os funcionários da autarquia a partir da próxima segunda-feira (23), mas isso será informado ""até o encerramento do expediente do dia 20"".",CVM suspende atendimento presencial ao público por causa do coronavírus,https://www.gazetadopovo.com.br/republica/breves/cvm-coronavirus-atendimento-presencial-publico/
"O presidente Jair Bolsonaro afirmou, nesta segunda-feira (16), que o Brasil pode adotar um controle maior e exigir exames para quem quiser entrar no país a partir da Venezuela. Questionado se há a possibilidade de fechar a fronteira, Bolsonaro disse considerar a medida pouco efetiva. ""Pode até fechar a fronteira com a Venezuela, mas vazaria por outro lugar"", afirmou o presidente em entrevista à Rádio Bandeirantes. Bolsonaro não detalhou quais exames seriam exigidos de quem pretende entrar no país a partir do país vizinho. O governo federal tem, também nesta segunda-feira (16), reunião para discutir o pedido apresentado pelo governador de Roraima, Antonio Denarium, para que a fronteira da Venezuela seja fechada no seu estado.",Bolsonaro sugere exigir exames de quem vem da Venezuela,https://www.gazetadopovo.com.br/republica/breves/jair-bolsonaro-exames-venezuelanos-fronteira/
"Ao afirmar que políticos estão em uma ""disputa de poder"", o presidente Jair Bolsonaro disse, nesta segunda-feira (16), que o ministro Luiz Eduardo Ramos, da Secretaria de Governo, foi posto ""contra a parede"" pelo Congresso Nacional nas negociações sobre o Orçamento impositivo. A declaração foi feita em entrevista à Rádio Bandeirantes. De acordo com ele, o defeito do ministro Ramos, que conversou com lideranças da Câmara e do Senado sobre o tema, é ser ""bastante inexperiente ainda"". ""O pessoal te bota na parede, botou o Ramos na parede para conversar [sobre] projetos para andar lá, compromissos futuros. Talvez o Ramos tenha se perdido um pouco pela sua imaturidade, inocência e honestidade"", disse Bolsonaro na entrevista.","Congresso “botou Ramos na parede”, diz Bolsonaro sobre acordo do Orçamento impositivo",https://www.gazetadopovo.com.br/republica/breves/orcamento-impositivo-congresso-bolsonaro-ramos/
"Em meio ao avanço do coronavírus, os economistas consultados pelo Banco Central derrubaram as previsões para o crescimento econômico deste ano. Segundo o boletim Focus, do Banco Central, a mediana das expectativas para o PIB caiu de 1,99% para 1,68% em apenas uma semana. Quatro semanas atrás, a projeção era de alta de 2,23%. A previsão para a taxa básica de juros (Selic) ao fim deste ano também caiu. Até semana passada, a expectativa era de manutenção do nível atual, de 4,25% ao ano. Agora, o mercado prevê que o juro básico terminará o ano em 3,75%. Algumas instituições preveem queda mais forte e esperam inclusive um corte extraordinário.","Com avanço do coronavírus, economistas derrubam previsão para o PIB",https://www.gazetadopovo.com.br/economia/breves/com-avanco-do-coronavirus-economistas-derrubam-previsao-para-o-pib/
"Funcionários do Palácio do Planalto foram avisados que, mesmo com a pandemia do novo coronavírus, só serão liberados do trabalho caso apresentem atestado médico. Assim, mesmo as pessoas que apresentarem sintomas, mas que não viajaram para o exterior nem tiveram contato com pacientes diagnosticados com COVID-19, não poderão deixar de ir ao trabalho. A decisão foi tomada mesmo com ao menos 12 pessoas da comitiva que viajou com Jair Bolsonaro aos EUA terem testado positivo para o novo coronavírus. As informações são da coluna Painel, da Folha de S. Paulo.","Mesmo com pandemia, Palácio do Planalto só vai liberar funcionários com atestado médico",https://www.gazetadopovo.com.br/republica/breves/palacio-planalto-funcionarios-coronavirus-atestado/
"O presidente Jair Bolsonaro manteve o tom de conflito com o Congresso Nacional e disse, em entrevista à Rádio Bandeirantes, que não quer ser melhor do que o presidente do Senado, Davi Alcolumbre (DEM-AP), nem que o da Câmara, Rodrigo Maia (DEM-RJ). ""Quero aprovar o que interessa ao povo"". Bolsonaro concentrou os ataques a Maia, e disse que as críticas que recebeu do presidente da Câmara, principalmente após participar de atos públicos neste domingo (15), em Brasília, são parte do jogo de disputa de poder. ""Maia me chamando de irresponsável ontem foi um ataque frontal. Estou pronto para conversar com o Congresso mas está em jogo disputa de poder"", afirmou. ""Dá para reverter críticas a Maia, é só começar a trabalhar pelo Brasil"", emendou.","Após atos, Bolsonaro volta a atacar Congresso: “Quero aprovar o que interessa ao povo”",https://www.gazetadopovo.com.br/republica/breves/entrevista-jair-bolsonaro-ataque-congresso/
"O presidente Jair Bolsonaro afirmou, nesta segunda-feira (16), que a pandemia do novo coronavírus ""não é tudo isso que dizem"". ""Foi surpreendente o que aconteceu na rua até com esse superdimensionamento. Que vai ter problema vai ter, quem é idoso, está com problema, alguma deficiência, mas não é tudo isso que dizem. Até na China já praticamente está acabando"", disse, na saída do Palácio da Alvorada. Bolsonaro estava em isolamento porque teve contato com pessoas que foram diagnosticadas com a COVID-19. Mesmo assim, no domingo (15), o presidente participou de manifestações em apoio ao governo, e contra o Congresso, cumprimentando apoiadores.",Bolsonaro minimiza pandemia e diz que novo coronavírus “não é tudo isso”,https://www.gazetadopovo.com.br/republica/breves/jair-bolsonaro-minimiza-pandemia-coronavirus/
